URL,Name,IMDB_Link,Amtiaz,Number_People,Country,Year,Rade,Num_Seasons,Total_Episodes,Publication,VoiceActors,Review,Tips,End,Description,Characters,InformativeMessages,PositiveAndNegative,SummaryStory,Screening,Critics,Conclusion,Introduction,Total_Words,Num_Titles,Is_Doblele,Total_Target_Words,About_Words,Story_Words,Release_Date_Words,Review_Words,Final_Words,Informative_Words,Positive_Negative_Words,Summary_Words,Screening_Words,Critics_Words,Conclusion_Words,Introduction_Words,Voice_Actor_Words,Series,Animation,Western,Adventure,Comedy,Family,Fantasy,Mystery,Action,Romance,Drama,SciFi,ShortFilm,Crime,Musical,Korean,Thriller,Anime,Music
https://myket.ir/video/v-6LPNJ3X3VS/rubble-and-crew,انیمیشن رابل و دوستان,۵.۹,80,"۲,۳۴۲",کانادا ,2023,رده سنی ۳+,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,1,1,31,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-8NB1RI924H/go-dog-go,انیمیشن برو هاپو برو!,۷.۳,83,"۲,۷۱۳",آمریکا ,2021,رده سنی ۳+,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,1,0,31,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-D0CZGKP8JI/unicorn-academy,انیمیشن آکادمی اسب های تک شاخ,۶.۷,93,"۳,۸۳۸",آمریکا ,2023,رده سنی ۳+,2,19,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1411,8,1,8,18,299,108,139,83,0,0,0,0,0,0,0,437,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-QR78OZL14E/the-daltons,انیمیشن دالتون ها,۷.۰,88,"۱۱,۲۵۶",فرانسه ,2010,رده سنی ۳+,1,25,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1192,8,1,5,18,408,0,0,0,280,103,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-2RY4YH18VO/pj-masks-power-heroes,انیمیشن ابرقهرمانان نقابدار,۸.۰,80,"۱,۶۴۷",آمریکا ,2023,رده سنی ۱۳+,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2,1,0,31,42,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-KZ576OS2TW/captain-tsubasa,انیمیشن کاپیتان سوباسا,۸.۲,93,"۱۵,۹۹۱",ژاپن ,2018,رده سنی ۳+,2,91,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1329,7,1,11,18,294,140,373,96,0,0,0,0,0,0,0,408,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-CR5UGB3LPL/kamp-koral-spongebobs-under-years,انیمیشن کمپ کورال: سال های کودکی باب اسفنجی,۳.۶,86,"۱۰,۷۷۹",آمریکا ,2021,رده سنی ۷+,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2,1,0,38,54,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-XCKGBCRFD2/saving-bikini-bottom-the-sandy-cheeks-movie,انیمیشن نجات بیکینی باتم: فیلم سندی چیکس,NA,86,"۳,۲۳۶",آمریکا ,2024,رده سنی ۱۳+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2,1,0,38,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-ULUJBEXVXI/spongebob-squarepants-presents-the-tidal-zone,انیمیشن باب اسفنجی: منطقه جزر و مدی,۵.۰,79,"۵,۰۴۸",آمریکا ,2023,رده سنی ۳+,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1354,7,1,5,19,335,183,351,74,0,0,0,0,0,0,0,392,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-R102N3HY4U/kreepaway-kamp,انیمیشن باب اسفنجی: کمپ ترس و فرار,۵.۶,90,"۱,۷۰۳",آمریکا ,2024,رده سنی ۳+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2,1,0,33,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-TQYHYTJXV4/spongebob-squarepants,انیمیشن باب اسفنجی,NA,88,"۲۷,۳۴۶",آمریکا ,1999,رده سنی ۷+,13,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1542,7,1,16,16,304,171,523,99,0,0,0,0,0,0,0,429,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-1C2TB88JRB/the-patrick-star-show,انیمیشن شوی پاتریک ستاره ای,۳.۵,85,"۹,۹۶۸",آمریکا ,2021,رده سنی ۷+,1,19,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1435,7,1,4,16,309,187,357,72,0,0,0,0,0,0,0,494,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-I8G9FX5FEJ/miraculous-world-paris-tales-of-shadybug-and-claw-noir,انیمیشن دنیای معجزه آسا: داستان های شادی باگ و گربه پنجه سیاه در پاریس,۹.۳,92,"۹,۲۶۹",,2023,رده سنی ۳+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2,1,0,47,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-8QFAR5M4I6/miraculous-world-new-york-united-heroez,انیمیشن دنیای دختر کفشدوزکی: نیویورک - قهرمانان متحد,۷.۴,87,"۱۶,۲۰۰",بریتانیا ,2020,رده سنی ۷+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2,1,0,38,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-J0TGJJFI5R/miraculous-world-shanghai-the-legend-of-ladydragon,انیمیشن ماجراجویی در شانگهای: افسانه ی لیدی دراگون,۷.۳,87,"۸,۹۸۶",آمریکا ,2021,رده سنی ۷+,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1438,7,1,0,17,354,179,426,73,0,0,0,0,0,0,0,389,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://myket.ir/video/v-UOSEUO91XE/miraculous-tales-of-ladybug-and-cat-noir,انیمیشن ماجراجویی در پاریس : افسانه دختر کفشدوزکی و گربه سیاه,۷.۵,89,"۵۵,۰۹۸",فرانسه ,2015,رده سنی ۷+,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2,1,0,42,108,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
